StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,Consent,Z3.CaTy.Uq,Z3.ExTy.Uq,z3.CaTo.Uq,z3.ExTo.Uq,Z4.Ty.CF,z4.To.CF,d3.CaTy.Uq,d3.ExTy.Uq,d3.CaTo.UQ,d3.ExTo.UQ,d4.Ty.CF,d4.To.CF,g3.CaTy.Uq,g3.ExTy.Uq,g3.CaTo.Uq,g3.ExTo.Uq,g4.Ty.CF,g4.To.CF,y3.CaTy.Uq,y3.ExTy.Uq,y3.CaTo.Uq,y3.ExTo.Uq,y4.Ty.CF,y4.To.CF,Mch.z1,Mch.z2,Mch.d1,Mch.d2,Mch.g1,Mch.g2,Mch.y1,Mch.y2,cov.1,cov.2,CommOwn,Comments,Age,Gender,task,moderator,tableorder
2024-02-22,2024-02-22 11:44:08,3,2024-02-22 11:44:09,R_3zjOt6T0MgQ571E,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:44:22,6,2024-02-22 11:44:22,R_1OK2MJ8vzZdkCLr,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:50:44,401,2024-02-22 11:50:46,R_4bZONNTQF0hxMs4,2,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,6,1,2,4,1,1,1,1,2,1,1,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,1
2024-02-22,2024-02-22 11:51:39,455,2024-02-22 11:51:40,R_7thrKpuJPDcFHgt,2,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,3,3,3,3,1,2,2,3,1,3,4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,1
2024-02-22,2024-02-22 11:52:17,470,2024-02-22 11:52:18,R_6m7rGzSJoMOixtx,2,NA,3,NA,NA,3,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,3,NA,NA,5,NA,NA,6,NA,4,1,4,1,1,4,1,4,3,1,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 11:54:11,11,2024-02-22 11:54:11,R_2fwTUbbmcVCerkz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:54:51,630,2024-02-22 11:54:51,R_1DtOoLnNJASrijX,2,1,NA,NA,NA,4,NA,6,NA,NA,NA,7,NA,1,NA,NA,NA,1,NA,5,NA,NA,NA,6,NA,1,1,1,1,1,1,1,1,1,1,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 11:56:29,49,2024-02-22 11:56:29,R_7fDaj9LRw9OP2nN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:58:47,886,2024-02-22 11:58:47,R_11uvUne2KZTKm73,2,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,3,NA,NA,5,NA,NA,3,NA,NA,3,NA,NA,3,1,1,1,1,1,1,1,1,4,1,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,2
2024-02-22,2024-02-22 11:59:19,914,2024-02-22 11:59:19,R_7VdN8mraFgowYYN,2,NA,NA,NA,6,NA,6,NA,NA,NA,4,NA,3,NA,NA,NA,6,NA,7,NA,NA,NA,4,NA,4,1,1,1,1,1,1,1,1,1,1,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:01:52,451,2024-02-22 12:01:53,R_1qrnMtWdUZxfSd3,2,NA,NA,NA,4,NA,4,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,4,NA,NA,NA,5,NA,6,1,1,2,1,2,1,1,1,1,1,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:03:28,555,2024-02-22 12:03:29,R_1i8TwzgWvcDTvcB,2,3,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,3,NA,NA,NA,6,NA,3,NA,NA,NA,5,NA,4,1,4,1,3,1,1,1,3,4,The data ended up being somewhat similar in every case,NA,23,Female,ca.ty.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:03:34,558,2024-02-22 12:03:34,R_6yJfn7bXKV6dqhz,2,6,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,5,NA,NA,NA,6,NA,1,1,1,1,1,1,1,1,1,1,most tables did or did not show a result but I never gave them a score 7 on the scale as probably more research needs to be done to rule out all possibilites f,NA,25,female,ca.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:05:11,668,2024-02-22 12:05:12,R_7NH0HBT7rAdsgDv,2,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,4,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,4,1,1,1,1,1,1,1,1,1,1,There was always a chance that these organisms would develop a certain thing even if they didn't eat something/were exposed to something. We therefore can't confidently say that something caused something in those organisms. This caused my answers to be very mild,no,22,female,ex.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:05:29,679,2024-02-22 12:05:30,R_7K6WBQFkAQilEaP,2,6,NA,NA,NA,6,NA,5,NA,NA,NA,4,NA,6,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,1,1,1,1,1,1,1,1,1,1,It depends if the results were like thtat becaus of one or two variables,NA,31,male,ca.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:05:54,692,2024-02-22 12:05:55,R_7zcHNth10yfJiGB,2,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,1,1,1,1,1,1,1,1,1,1,1,Pure logic,NA,26,Male,ca.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:07:40,720,2024-02-22 12:07:40,R_7HCbSKuKeLwih24,2,NA,NA,NA,7,NA,1,NA,NA,NA,7,NA,2,NA,NA,NA,7,NA,5,NA,NA,NA,2,NA,7,1,3,2,4,2,4,1,2,3,3,it just made more sense to me.,NA,46,Female,ex.to.uq,drolyuyu,1
2024-02-22,2024-02-22 12:07:57,793,2024-02-22 12:07:58,R_4lrDR2JNszCUfRQ,2,NA,1,NA,NA,1,NA,NA,6,NA,NA,7,NA,NA,2,NA,NA,3,NA,NA,7,NA,NA,6,NA,1,1,1,1,1,1,1,1,1,1,I compared the original tables with those formed after the addition of the second variable.,NA,29,Male,ex.ty.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:08:04,838,2024-02-22 12:08:05,R_2S6oDY1J0E7Be2e,2,NA,NA,3,NA,NA,1,NA,NA,5,NA,NA,5,NA,NA,3,NA,NA,1,NA,NA,5,NA,NA,2,1,1,1,1,1,4,1,1,1,1,"I tried to avoid giving extreme ratings because in all the cases there was not always a clear, strong relation despite the confounding factors that complicated the experiment. Then I ruled myself through proportions to try and give an adequate rating",NA,23,Male,ca.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:08:16,1436,2024-02-22 12:08:16,R_6goNwXbHXujTACw,2,5,NA,NA,NA,5,NA,3,NA,NA,NA,4,NA,5,NA,NA,NA,5,NA,3,NA,NA,NA,4,NA,1,3,1,4,1,1,1,1,1,1,I'was looking on disproportion between amount of 'yes' and 'no' and then I made a decision.,NA,25,female,ca.ty.uq,drolyuyu,2
2024-02-22,2024-02-22 12:08:38,789,2024-02-22 12:08:39,R_11FsXI6PwQKYnW1,2,NA,NA,4,NA,NA,3,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,6,NA,NA,5,1,1,1,1,1,1,1,1,1,1,"I hesitated to ""agree"" or ""disagree"" with statements, because hypotheses can only be ""supported"" or ""not supported"".",NA,25,Woman,ca.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:09:50,938,2024-02-22 12:09:50,R_8VdPWnND7L7wWKx,2,NA,1,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,7,NA,1,1,1,1,1,1,1,1,1,1,Because I don't think there was a strict correlation between those results,Thank you for the survey! :),28,Male,ex.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:10:04,949,2024-02-22 12:10:05,R_1MFgISFB2H6N26q,2,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,2,1,1,1,1,1,1,1,1,1,1,"Because of the data shown, I didn´t want to go to either extreme but was very certain",I enjoyed the way the experiment was conducted,26,female,ca.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:11:20,1027,2024-02-22 12:11:21,R_7MlpsEfWmJmqaJ3,2,7,NA,NA,NA,6,NA,6,NA,NA,NA,5,NA,6,NA,NA,NA,7,NA,6,NA,NA,NA,4,NA,1,1,4,1,1,1,1,1,1,1,I was pretty sure that the hypothesis of their research was correct.,NA,23,Female,ca.ty.uq,drolyuyu,2
2024-02-22,2024-02-22 12:11:40,1007,2024-02-22 12:11:41,R_25w19XCB66F51bH,2,6,NA,NA,NA,5,NA,5,NA,NA,NA,6,NA,5,NA,NA,NA,4,NA,7,NA,NA,NA,6,NA,1,4,4,2,1,1,1,4,3,1,because i was agreeing with what was said,no,23,male,ca.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:12:08,1072,2024-02-22 12:12:08,R_2LFJYuG9WKf9xyZ,2,NA,NA,NA,4,NA,4,NA,NA,NA,3,NA,4,NA,NA,NA,5,NA,6,NA,NA,NA,4,NA,3,1,1,2,3,1,4,1,4,1,2,"Because it seemed the most reasonable answer. The people eat carrots, the better eye sight they have.",No!,24,Female,ex.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:12:21,1087,2024-02-22 12:12:21,R_2652zmPpEoZVSEv,2,NA,4,NA,NA,4,NA,NA,7,NA,NA,2,NA,NA,6,NA,NA,4,NA,NA,2,NA,NA,3,NA,1,1,1,1,1,1,1,1,1,2,"From my perspective, i tried to understand the probabilities and the relation between numbers",NA,26,Female,ex.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:12:43,1090,2024-02-22 12:12:44,R_2aPYXL38bw6k8Vj,2,7,NA,NA,NA,6,NA,6,NA,NA,NA,5,NA,3,NA,NA,NA,5,NA,6,NA,NA,NA,5,NA,1,1,1,1,1,1,1,1,2,1,NA,None,21,Female,ca.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:13:10,1731,2024-02-22 12:13:11,R_7coKMB6gknpiOL6,2,NA,NA,NA,6,NA,6,NA,NA,NA,5,NA,6,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,7,1,1,1,1,1,1,1,1,1,1,"In some cases, data from exposure to both external influences did not vary much.",None.,25,female,ex.to.uq,drolyuyu,1
2024-02-22,2024-02-22 12:13:17,1149,2024-02-22 12:13:18,R_4E79xm6zpE9OMAw,2,NA,NA,NA,6,NA,7,NA,NA,NA,1,NA,2,NA,NA,NA,5,NA,6,NA,NA,NA,2,NA,3,1,1,1,1,1,1,1,1,1,1,NA,NA,22,male,ex.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:13:35,1137,2024-02-22 12:13:35,R_2nW6ug02O2PRrcY,2,NA,NA,NA,6,NA,5,NA,NA,NA,2,NA,5,NA,NA,NA,6,NA,5,NA,NA,NA,6,NA,4,1,3,4,1,1,1,1,3,1,1,They correlate with the data provided,Nothing,25,Male,ex.to.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:15:49,1307,2024-02-22 12:15:50,R_6suXG7kiRTXBhRs,2,NA,NA,3,NA,NA,2,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,4,1,1,1,1,1,1,1,1,1,1,I just can’t make any certain conclusions when we can not consider all the details and facts..,NA,31,Female,ca.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:15:57,1299,2024-02-22 12:15:57,R_3Qy6dGEoTsDTqZq,2,NA,NA,4,NA,NA,3,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,5,1,1,1,1,1,1,2,1,1,1,Because of what I read,NA,25,Female,ca.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:16:41,1332,2024-02-22 12:16:41,R_2vZZeWb2B4TjLUy,2,NA,6,NA,NA,7,NA,NA,5,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,I relied on the data collected during the experiments,"interesting study, no concerns",24,female,ex.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:17:41,1404,2024-02-22 12:17:41,R_7rZn5cetQvl9GuU,2,NA,NA,NA,5,NA,3,NA,NA,NA,7,NA,7,NA,NA,NA,5,NA,3,NA,NA,NA,6,NA,6,1,1,1,1,1,1,1,1,1,1,"tried using the numbers as percantages for my answer,I mentally cut the strong agree disagree etc etc into percentages. and then put whatever I thought fit.","theres an error on the sore mushroom page,on the answers theres no mostly agree just a repeated mostly disagree option,I presume it wasn't  a ""secret"" memory check. Interesting study,thank you!",40,male,ex.to.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:17:43,1393,2024-02-22 12:17:43,R_7nkFpbujZj335gC,2,NA,4,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,3,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,ratings had the best fit for the data,"in (almost?) all the scenarios, it is not clear if the original random sample had already had the symptoms being studied, and therefore might have any impact on the final results... so confusing....",62,male,ex.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:17:58,1428,2024-02-22 12:17:58,R_8bTOU4Y99QkyQ2N,2,7,NA,NA,NA,2,NA,7,NA,NA,NA,1,NA,7,NA,NA,NA,2,NA,7,NA,NA,NA,7,NA,1,2,1,1,1,1,1,1,1,1,I gave those ratings after analysing the data tables and drew a conclusion from them,"No, it was very clear.",26,Female,ca.ty.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:18:29,1442,2024-02-22 12:18:29,R_6EzrweaP3ZHsPvu,2,6,NA,NA,NA,6,NA,4,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,1,1,1,1,1,1,1,1,1,1,The data showed strong numbers for positive relationships,No,35,female,ca.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:18:41,1311,2024-02-22 12:18:42,R_1P8hQmN9pa0Fmgh,2,NA,5,NA,NA,5,NA,NA,2,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,3,NA,1,1,1,1,1,1,1,1,1,1,"Because I believe that in some cases, the hypothesis were proven to be right in both scenarios, but in others, it was questionnable.",All good.,28,Female,ex.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:19:01,1497,2024-02-22 12:19:01,R_25RWcDDSyS2JpdR,2,4,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,5,NA,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,The numbers shown in the table gave you an interpretation of the data,NA,26,Female,ca.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:19:30,1521,2024-02-22 12:19:31,R_61Y2S3YSMhsF1rw,2,NA,NA,NA,6,NA,6,NA,NA,NA,3,NA,2,NA,NA,NA,6,NA,6,NA,NA,NA,3,NA,2,1,1,1,1,1,1,1,1,1,1,They seemed more logical to me.,no,38,male,ex.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:23:18,1731,2024-02-22 12:23:18,R_3anPyGVbkrjZ29S,2,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,4,1,1,1,1,1,1,1,1,1,1,I tried using statistics and analysis of the data provided.,No,22,Female,ca.to.uq,drolyuyu,1
2024-02-22,2024-02-22 12:24:24,1819,2024-02-22 12:24:24,R_6qmzz1zQRKqoV9f,2,NA,2,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,3,NA,NA,3,NA,NA,4,NA,NA,3,NA,1,1,1,1,1,1,1,1,1,1,"Try to be objective according to the data that was presented, trying to apply a little knowledge of the scientific method.",NA,25,Male,ex.ty.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:25:32,1883,2024-02-22 12:25:33,R_2qx8L9Jx74VNC6F,2,NA,6,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,2,NA,NA,3,NA,1,1,1,1,1,1,1,1,1,1,Intuition. The most helpful for me were the second experiments in which another external factor appeared.,NA,21,male,ex.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:25:45,966,2024-02-22 12:25:45,R_3zeEZdFzgtjEghq,2,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,7,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,6,1,1,1,1,1,1,1,1,1,1,Inferred likelihood of causality given data,NA,30,M,ca.to.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:26:30,1786,2024-02-22 12:26:30,R_7SIMTLOFMx8QIr7,2,NA,NA,NA,3,NA,3,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,6,NA,NA,NA,6,NA,5,1,3,1,1,1,1,1,1,3,2,I analyzed the statistics then went to choose what i feel its correct.,NA,43,Male,ex.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:26:52,2563,2024-02-22 12:26:53,R_1ROVlUEfGxTvLTr,2,NA,NA,NA,3,NA,4,NA,NA,NA,5,NA,5,NA,NA,NA,6,NA,3,NA,NA,NA,5,NA,3,1,1,1,1,1,1,1,1,1,1,I chose somewhat to clearly relevant when there was a clear numeric indication that there was correlation between the experiments's parameters.,NA,30,man,ex.to.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:28:47,1838,2024-02-22 12:28:48,R_1zRUnRWe25rFrqT,2,NA,4,NA,NA,3,NA,NA,5,NA,NA,2,NA,NA,7,NA,NA,2,NA,NA,6,NA,NA,7,NA,1,2,1,1,1,2,1,1,1,1,I was rating according to the story scenarios I read as I remembered them.,None at all. A very interesting survey. Thank you.,41,female,ex.ty.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:28:47,2038,2024-02-22 12:28:48,R_3xPNaHgGw8wB3mN,2,NA,NA,NA,7,NA,7,NA,NA,NA,7,NA,6,NA,NA,NA,7,NA,6,NA,NA,NA,7,NA,5,1,1,1,1,1,1,1,1,1,2,I gave the ratings because of the patterns I saw on the data tables.,None,29,Female,ex.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:31:50,2251,2024-02-22 12:31:50,R_78FIuxyHcMYIPSZ,2,NA,NA,4,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,7,1,1,1,2,NA,1,1,1,1,1,I based my answers on the data provided.,NA,56,Male,ca.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:43:17,2949,2024-02-22 12:43:18,R_5KNNfXgAqYRfuQu,2,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,5,1,1,1,1,1,4,2,4,1,1,i looked carefully at the data in the tables then i decided the answers,NA,24,NA,ca.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:44:15,2913,2024-02-22 12:44:16,R_238xtzYERFTrySK,2,6,NA,NA,NA,6,NA,3,NA,NA,NA,2,NA,7,NA,NA,NA,6,NA,2,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,3,1,Because I paid attention to the instructions and first example.,NA,1994,Male,ca.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 13:01:13,1463,2024-02-22 13:01:14,R_21J6inwfbf09pND,2,NA,6,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,3,NA,1,1,1,1,1,1,1,1,1,1,because that was my task,I liked the study,33,NA,ex.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 13:21:06,2007,2024-02-22 13:21:06,R_8HXHTBETZsYawpa,2,NA,NA,NA,5,NA,4,NA,NA,NA,7,NA,7,NA,NA,NA,3,NA,2,NA,NA,NA,6,NA,2,1,1,1,1,1,4,1,1,1,1,I gave the grades based on the conclusions drawn from the data tables.,NA,28,male,ex.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 13:21:53,724,2024-02-22 13:21:53,R_12Pkv2bF7Do60jD,2,NA,NA,NA,7,NA,7,NA,NA,NA,7,NA,6,NA,NA,NA,5,NA,6,NA,NA,NA,5,NA,3,1,1,1,1,1,1,3,1,1,1,because I thought the conclusion was correct,no,18,female,ex.to.uq,drolyuyu,2
